minbound,shape,unit
-45,18,9
-117,17,9
0,5,9

IX,IY,IZ,value
0,0,0,0
0,0,1,0
0,0,2,0
0,0,3,0
0,0,4,0
0,1,0,0
0,1,1,0
0,1,2,0
0,1,3,0
0,1,4,0
0,2,0,0
0,2,1,0
0,2,2,0
0,2,3,0
0,2,4,0
0,3,0,0
0,3,1,0
0,3,2,0
0,3,3,0
0,3,4,0
0,4,0,0
0,4,1,0
0,4,2,0
0,4,3,0
0,4,4,0
0,5,0,0
0,5,1,0
0,5,2,0
0,5,3,0
0,5,4,0
0,6,0,0
0,6,1,0
0,6,2,0
0,6,3,0
0,6,4,0
0,7,0,0
0,7,1,0
0,7,2,0
0,7,3,0
0,7,4,0
0,8,0,0
0,8,1,0
0,8,2,0
0,8,3,0
0,8,4,0
0,9,0,0
0,9,1,0
0,9,2,0
0,9,3,0
0,9,4,0
0,10,0,0
0,10,1,0
0,10,2,0
0,10,3,0
0,10,4,0
0,11,0,0
0,11,1,0
0,11,2,0
0,11,3,0
0,11,4,0
0,12,0,0
0,12,1,0
0,12,2,0
0,12,3,0
0,12,4,0
0,13,0,0
0,13,1,0
0,13,2,0
0,13,3,0
0,13,4,0
0,14,0,0
0,14,1,0
0,14,2,0
0,14,3,0
0,14,4,0
0,15,0,0
0,15,1,0
0,15,2,0
0,15,3,0
0,15,4,0
0,16,0,0
0,16,1,0
0,16,2,0
0,16,3,0
0,16,4,0
1,0,0,0
1,0,1,0
1,0,2,0
1,0,3,0
1,0,4,0
1,1,0,0
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,0
1,2,0,0
1,2,1,0.535714
1,2,2,0.696429
1,2,3,0.857143
1,2,4,0
1,3,0,0
1,3,1,0.482143
1,3,2,0.821429
1,3,3,0.892857
1,3,4,0
1,4,0,0
1,4,1,0.678571
1,4,2,0.803571
1,4,3,0.892857
1,4,4,0
1,5,0,0
1,5,1,0.714286
1,5,2,0.875
1,5,3,0.964286
1,5,4,0
1,6,0,0
1,6,1,0.75
1,6,2,0.910714
1,6,3,0.964286
1,6,4,0
1,7,0,0
1,7,1,0.75
1,7,2,0.910714
1,7,3,0.964286
1,7,4,0
1,8,0,0
1,8,1,0.75
1,8,2,0.928571
1,8,3,1
1,8,4,0
1,9,0,0
1,9,1,0
1,9,2,0
1,9,3,0
1,9,4,0
1,10,0,0
1,10,1,0
1,10,2,0
1,10,3,0
1,10,4,0
1,11,0,0
1,11,1,0
1,11,2,0
1,11,3,0
1,11,4,0
1,12,0,0
1,12,1,0
1,12,2,0
1,12,3,0
1,12,4,0
1,13,0,0
1,13,1,0
1,13,2,0
1,13,3,0
1,13,4,0
1,14,0,0
1,14,1,0
1,14,2,0
1,14,3,0
1,14,4,0
1,15,0,0
1,15,1,0
1,15,2,0
1,15,3,0
1,15,4,0
1,16,0,0
1,16,1,0
1,16,2,0
1,16,3,0
1,16,4,0
2,0,0,0
2,0,1,0
2,0,2,0
2,0,3,0
2,0,4,0
2,1,0,0
2,1,1,0
2,1,2,0
2,1,3,0
2,1,4,0
2,2,0,0
2,2,1,0.589286
2,2,2,0.696429
2,2,3,0.857143
2,2,4,0
2,3,0,0
2,3,1,0.464286
2,3,2,0.785714
2,3,3,0.892857
2,3,4,0
2,4,0,0
2,4,1,0.642857
2,4,2,0.821429
2,4,3,0.892857
2,4,4,0
2,5,0,0
2,5,1,0.714286
2,5,2,0.839286
2,5,3,0.928571
2,5,4,0
2,6,0,0
2,6,1,0.696429
2,6,2,0.892857
2,6,3,0.928571
2,6,4,0
2,7,0,0
2,7,1,0.732143
2,7,2,0.892857
2,7,3,0.928571
2,7,4,0
2,8,0,0
2,8,1,0.732143
2,8,2,0.910714
2,8,3,0.964286
2,8,4,0
2,9,0,0
2,9,1,0.75
2,9,2,0.910714
2,9,3,0.964286
2,9,4,0
2,10,0,0
2,10,1,0.732143
2,10,2,0.928571
2,10,3,0.964286
2,10,4,0
2,11,0,0
2,11,1,0.696429
2,11,2,0.910714
2,11,3,0.964286
2,11,4,0
2,12,0,0
2,12,1,0
2,12,2,0
2,12,3,0
2,12,4,0
2,13,0,0
2,13,1,0
2,13,2,0
2,13,3,0
2,13,4,0
2,14,0,0
2,14,1,0
2,14,2,0
2,14,3,0
2,14,4,0
2,15,0,0
2,15,1,0
2,15,2,0
2,15,3,0
2,15,4,0
2,16,0,0
2,16,1,0
2,16,2,0
2,16,3,0
2,16,4,0
3,0,0,0
3,0,1,0
3,0,2,0
3,0,3,0
3,0,4,0
3,1,0,0
3,1,1,0
3,1,2,0
3,1,3,0
3,1,4,0
3,2,0,0
3,2,1,0.642857
3,2,2,0.75
3,2,3,0.857143
3,2,4,0
3,3,0,0
3,3,1,0.642857
3,3,2,0.785714
3,3,3,0.892857
3,3,4,0
3,4,0,0
3,4,1,0.642857
3,4,2,0.803571
3,4,3,0.892857
3,4,4,0
3,5,0,0
3,5,1,0.714286
3,5,2,0.857143
3,5,3,0.928571
3,5,4,0
3,6,0,0
3,6,1,0.678571
3,6,2,0.875
3,6,3,0.928571
3,6,4,0
3,7,0,0
3,7,1,0.732143
3,7,2,0.892857
3,7,3,0.928571
3,7,4,0
3,8,0,0
3,8,1,0.732143
3,8,2,0.910714
3,8,3,0.964286
3,8,4,0
3,9,0,0
3,9,1,0.785714
3,9,2,0.928571
3,9,3,0.964286
3,9,4,0
3,10,0,0
3,10,1,0.767857
3,10,2,0.928571
3,10,3,0.964286
3,10,4,0
3,11,0,0
3,11,1,0.767857
3,11,2,0.928571
3,11,3,0.964286
3,11,4,0
3,12,0,0
3,12,1,0
3,12,2,0
3,12,3,0
3,12,4,0
3,13,0,0
3,13,1,0
3,13,2,0
3,13,3,0
3,13,4,0
3,14,0,0
3,14,1,0
3,14,2,0
3,14,3,0
3,14,4,0
3,15,0,0
3,15,1,0
3,15,2,0
3,15,3,0
3,15,4,0
3,16,0,0
3,16,1,0
3,16,2,0
3,16,3,0
3,16,4,0
4,0,0,0
4,0,1,0
4,0,2,0
4,0,3,0
4,0,4,0
4,1,0,0
4,1,1,0
4,1,2,0
4,1,3,0
4,1,4,0
4,2,0,0
4,2,1,0.642857
4,2,2,0.75
4,2,3,0.839286
4,2,4,0
4,3,0,0
4,3,1,0.660714
4,3,2,0.785714
4,3,3,0.875
4,3,4,0
4,4,0,0
4,4,1,0.696429
4,4,2,0.839286
4,4,3,0.892857
4,4,4,0
4,5,0,0
4,5,1,0.714286
4,5,2,0.857143
4,5,3,0.928571
4,5,4,0
4,6,0,0
4,6,1,0.696429
4,6,2,0.875
4,6,3,0.928571
4,6,4,0
4,7,0,0
4,7,1,0.732143
4,7,2,0.892857
4,7,3,0.928571
4,7,4,0
4,8,0,0
4,8,1,0.732143
4,8,2,0.910714
4,8,3,0.964286
4,8,4,0
4,9,0,0
4,9,1,0.785714
4,9,2,0.928571
4,9,3,0.964286
4,9,4,0
4,10,0,0
4,10,1,0.785714
4,10,2,0.928571
4,10,3,0.964286
4,10,4,0
4,11,0,0
4,11,1,0.785714
4,11,2,0.928571
4,11,3,0.964286
4,11,4,0
4,12,0,0
4,12,1,0
4,12,2,0
4,12,3,0
4,12,4,0
4,13,0,0
4,13,1,0
4,13,2,0
4,13,3,0
4,13,4,0
4,14,0,0
4,14,1,0
4,14,2,0
4,14,3,0
4,14,4,0
4,15,0,0
4,15,1,0
4,15,2,0
4,15,3,0
4,15,4,0
4,16,0,0
4,16,1,0
4,16,2,0
4,16,3,0
4,16,4,0
5,0,0,0
5,0,1,0
5,0,2,0
5,0,3,0
5,0,4,0
5,1,0,0
5,1,1,0.535714
5,1,2,0.642857
5,1,3,0.732143
5,1,4,0
5,2,0,0
5,2,1,0.625
5,2,2,0.732143
5,2,3,0.821429
5,2,4,0
5,3,0,0
5,3,1,0.642857
5,3,2,0.767857
5,3,3,0.875
5,3,4,0
5,4,0,0
5,4,1,0.678571
5,4,2,0.821429
5,4,3,0.892857
5,4,4,0
5,5,0,0
5,5,1,0.696429
5,5,2,0.857143
5,5,3,0.928571
5,5,4,0
5,6,0,0
5,6,1,0.732143
5,6,2,0.892857
5,6,3,0.928571
5,6,4,0
5,7,0,0
5,7,1,0.732143
5,7,2,0.875
5,7,3,0.928571
5,7,4,0
5,8,0,0
5,8,1,0.732143
5,8,2,0.910714
5,8,3,0.964286
5,8,4,0
5,9,0,0
5,9,1,0.767857
5,9,2,0.928571
5,9,3,0.964286
5,9,4,0
5,10,0,0
5,10,1,0.785714
5,10,2,0.928571
5,10,3,0.964286
5,10,4,0
5,11,0,0
5,11,1,0.785714
5,11,2,0.928571
5,11,3,0.964286
5,11,4,0
5,12,0,0
5,12,1,0
5,12,2,0
5,12,3,0
5,12,4,0
5,13,0,0
5,13,1,0
5,13,2,0
5,13,3,0
5,13,4,0
5,14,0,0
5,14,1,0
5,14,2,0
5,14,3,0
5,14,4,0
5,15,0,0
5,15,1,0
5,15,2,0
5,15,3,0
5,15,4,0
5,16,0,0
5,16,1,0
5,16,2,0
5,16,3,0
5,16,4,0
6,0,0,0
6,0,1,0
6,0,2,0
6,0,3,0
6,0,4,0
6,1,0,0
6,1,1,0.571429
6,1,2,0.678571
6,1,3,0.732143
6,1,4,0
6,2,0,0
6,2,1,0.607143
6,2,2,0.714286
6,2,3,0.803571
6,2,4,0
6,3,0,0
6,3,1,0.642857
6,3,2,0.75
6,3,3,0.857143
6,3,4,0
6,4,0,0
6,4,1,0.696429
6,4,2,0.839286
6,4,3,0.892857
6,4,4,0
6,5,0,0
6,5,1,0.660714
6,5,2,0.839286
6,5,3,0.928571
6,5,4,0
6,6,0,0
6,6,1,0.714286
6,6,2,0.875
6,6,3,0.928571
6,6,4,0
6,7,0,0
6,7,1,0.75
6,7,2,0.892857
6,7,3,0.928571
6,7,4,0
6,8,0,0
6,8,1,0.75
6,8,2,0.910714
6,8,3,0.964286
6,8,4,0
6,9,0,0
6,9,1,0.785714
6,9,2,0.928571
6,9,3,0.964286
6,9,4,0
6,10,0,0
6,10,1,0.767857
6,10,2,0.928571
6,10,3,0.964286
6,10,4,0
6,11,0,0
6,11,1,0.767857
6,11,2,0.928571
6,11,3,0.964286
6,11,4,0
6,12,0,0
6,12,1,0
6,12,2,0
6,12,3,0
6,12,4,0
6,13,0,0
6,13,1,0
6,13,2,0
6,13,3,0
6,13,4,0
6,14,0,0
6,14,1,0
6,14,2,0
6,14,3,0
6,14,4,0
6,15,0,0
6,15,1,0
6,15,2,0
6,15,3,0
6,15,4,0
6,16,0,0
6,16,1,0
6,16,2,0
6,16,3,0
6,16,4,0
7,0,0,0
7,0,1,0
7,0,2,0
7,0,3,0
7,0,4,0
7,1,0,0
7,1,1,0.571429
7,1,2,0.660714
7,1,3,0.714286
7,1,4,0
7,2,0,0
7,2,1,0.607143
7,2,2,0.714286
7,2,3,0.803571
7,2,4,0
7,3,0,0
7,3,1,0.625
7,3,2,0.732143
7,3,3,0.839286
7,3,4,0
7,4,0,0
7,4,1,0.678571
7,4,2,0.821429
7,4,3,0.892857
7,4,4,0
7,5,0,0
7,5,1,0.696429
7,5,2,0.839286
7,5,3,0.928571
7,5,4,0
7,6,0,0
7,6,1,0.696429
7,6,2,0.875
7,6,3,0.928571
7,6,4,0
7,7,0,0
7,7,1,0.732143
7,7,2,0.875
7,7,3,0.928571
7,7,4,0
7,8,0,0
7,8,1,0.75
7,8,2,0.910714
7,8,3,0.964286
7,8,4,0
7,9,0,0
7,9,1,0.767857
7,9,2,0.892857
7,9,3,0.964286
7,9,4,0
7,10,0,0
7,10,1,0.767857
7,10,2,0.892857
7,10,3,0.964286
7,10,4,0
7,11,0,0
7,11,1,0.767857
7,11,2,0.892857
7,11,3,0.964286
7,11,4,0
7,12,0,0
7,12,1,0.785714
7,12,2,0.928571
7,12,3,0.964286
7,12,4,0
7,13,0,0
7,13,1,0.785714
7,13,2,0.964286
7,13,3,0.964286
7,13,4,0
7,14,0,0
7,14,1,0.785714
7,14,2,0.946429
7,14,3,0.964286
7,14,4,0
7,15,0,0
7,15,1,0.714286
7,15,2,0.892857
7,15,3,0.964286
7,15,4,0
7,16,0,0
7,16,1,0
7,16,2,0
7,16,3,0
7,16,4,0
8,0,0,0
8,0,1,0
8,0,2,0
8,0,3,0
8,0,4,0
8,1,0,0
8,1,1,0.571429
8,1,2,0.660714
8,1,3,0.732143
8,1,4,0
8,2,0,0
8,2,1,0.625
8,2,2,0.678571
8,2,3,0.785714
8,2,4,0
8,3,0,0
8,3,1,0.625
8,3,2,0.75
8,3,3,0.839286
8,3,4,0
8,4,0,0
8,4,1,0.678571
8,4,2,0.803571
8,4,3,0.892857
8,4,4,0
8,5,0,0
8,5,1,0.678571
8,5,2,0.821429
8,5,3,0.910714
8,5,4,0
8,6,0,0
8,6,1,0.714286
8,6,2,0.875
8,6,3,0.928571
8,6,4,0
8,7,0,0
8,7,1,0.714286
8,7,2,0.892857
8,7,3,0.946429
8,7,4,0
8,8,0,0
8,8,1,0.767857
8,8,2,0.892857
8,8,3,0.964286
8,8,4,0
8,9,0,0
8,9,1,0.75
8,9,2,0.875
8,9,3,0.964286
8,9,4,0
8,10,0,0
8,10,1,0.732143
8,10,2,0.892857
8,10,3,0.964286
8,10,4,0
8,11,0,0
8,11,1,0.803571
8,11,2,0.892857
8,11,3,0.964286
8,11,4,0
8,12,0,0
8,12,1,0.785714
8,12,2,0.928571
8,12,3,0.964286
8,12,4,0
8,13,0,0
8,13,1,0.785714
8,13,2,0.946429
8,13,3,0.964286
8,13,4,0
8,14,0,0
8,14,1,0.785714
8,14,2,0.946429
8,14,3,0.964286
8,14,4,0
8,15,0,0
8,15,1,0.75
8,15,2,0.875
8,15,3,0.964286
8,15,4,0
8,16,0,0
8,16,1,0
8,16,2,0
8,16,3,0
8,16,4,0
9,0,0,0
9,0,1,0
9,0,2,0
9,0,3,0
9,0,4,0
9,1,0,0
9,1,1,0.571429
9,1,2,0.660714
9,1,3,0.732143
9,1,4,0
9,2,0,0
9,2,1,0.625
9,2,2,0.696429
9,2,3,0.785714
9,2,4,0
9,3,0,0
9,3,1,0.642857
9,3,2,0.767857
9,3,3,0.857143
9,3,4,0
9,4,0,0
9,4,1,0.678571
9,4,2,0.803571
9,4,3,0.892857
9,4,4,0
9,5,0,0
9,5,1,0.660714
9,5,2,0.821429
9,5,3,0.910714
9,5,4,0
9,6,0,0
9,6,1,0.714286
9,6,2,0.857143
9,6,3,0.910714
9,6,4,0
9,7,0,0
9,7,1,0.732143
9,7,2,0.892857
9,7,3,0.946429
9,7,4,0
9,8,0,0
9,8,1,0.75
9,8,2,0.892857
9,8,3,0.964286
9,8,4,0
9,9,0,0
9,9,1,0.767857
9,9,2,0.892857
9,9,3,0.964286
9,9,4,0
9,10,0,0
9,10,1,0.75
9,10,2,0.875
9,10,3,0.964286
9,10,4,0
9,11,0,0
9,11,1,0.803571
9,11,2,0.892857
9,11,3,0.964286
9,11,4,0
9,12,0,0
9,12,1,0.803571
9,12,2,0.910714
9,12,3,0.964286
